MCC Code,Payment Method,Setup A,Setup B
5946,sunbit_payments,Prohibited (PBL),—
5947,oxxo_payments,Prohibited (PBL),—
5948,sunbit_payments,Prohibited (PBL),—
5949,sunbit_payments,Prohibited (PBL),—
5950,sunbit_payments,Prohibited (PBL),—
5960,affirm_payments,Prohibited (PBL),—
5961,affirm_payments,Restricted (RBL),—
5962,afterpay_clearpay_payments,Prohibited (PBL),—
5963,affirm_payments,Prohibited (PBL),—
5964,affirm_payments,Prohibited (PBL),—
5965,afterpay_clearpay_payments,Prohibited (PBL),—
5966,affirm_payments,Prohibited (PBL),—
5967,affirm_payments,Prohibited (PBL),—
5968,affirm_payments,Prohibited (PBL),—
5969,affirm_payments,Prohibited (PBL),—
5970,sunbit_payments,Prohibited (PBL),—
5971,bizum_payments,Prohibited (PBL),—
5972,affirm_payments,Prohibited (PBL),—
5973,p24_payments,Prohibited (PBL),—
5976,upi_payments,Restricted (RBL),—
5977,p24_payments,Restricted (RBL),—
5978,sunbit_payments,Prohibited (PBL),—
5983,affirm_payments,Prohibited (PBL),—
5992,sunbit_payments,Prohibited (PBL),—
5993,affirm_payments,Prohibited (PBL),—
5994,sunbit_payments,Prohibited (PBL),—
5995,p24_payments,Prohibited (PBL),—
5996,upi_payments,Prohibited (PBL),—
5997,sunbit_payments,Prohibited (PBL),—
5998,sunbit_payments,Prohibited (PBL),—
5999,p24_payments,Prohibited (PBL),—
6010,affirm_payments,Prohibited (PBL),—
6011,affirm_payments,Prohibited (PBL),—
6012,affirm_payments,Prohibited (PBL),—
6050,affirm_payments,Prohibited (PBL),—
6051,affirm_payments,Prohibited (PBL),—
6211,affirm_payments,Prohibited (PBL),—
6300,affirm_payments,Prohibited (PBL),—
6381,affirm_payments,Prohibited (PBL),—
6399,affirm_payments,Prohibited (PBL),—
6513,alipay_payments,Prohibited (PBL),—
6529,affirm_payments,Prohibited (PBL),—
6530,affirm_payments,Prohibited (PBL),—
6531,affirm_payments,Prohibited (PBL),—
6532,affirm_payments,Prohibited (PBL),—
6533,affirm_payments,Prohibited (PBL),—
6534,affirm_payments,Prohibited (PBL),—
6535,affirm_payments,Prohibited (PBL),—
6536,affirm_payments,Prohibited (PBL),—
6537,affirm_payments,Prohibited (PBL),—
6538,affirm_payments,Prohibited (PBL),—
6539,bacs_debit_payments,Prohibited (PBL),—
6540,affirm_payments,Prohibited (PBL),—
7011,afterpay_clearpay_payments,Prohibited (PBL),—
7012,afterpay_clearpay_payments,Prohibited (PBL),—
7032,sunbit_payments,Prohibited (PBL),—
7033,p24_payments,Prohibited (PBL),—
7210,upi_payments,Restricted (RBL),—
7211,sunbit_payments,Prohibited (PBL),—
7216,sunbit_payments,Prohibited (PBL),—
7217,upi_payments,Restricted (RBL),—
7221,sunbit_payments,Prohibited (PBL),—
7230,upi_payments,Restricted (RBL),—
7251,sunbit_payments,Prohibited (PBL),—
7261,kakao_pay_payments,Prohibited (PBL),—
7273,bacs_debit_payments,Prohibited (PBL),—
7276,affirm_payments,Prohibited (PBL),—
7277,affirm_payments,Prohibited (PBL),—
7278,cashapp_payments,Prohibited (PBL),—
7296,kakao_pay_payments,Prohibited (PBL),—
7297,affirm_payments,Prohibited (PBL),—
7298,cashapp_payments,Restricted (RBL),—
7299,p24_payments,Restricted (RBL),—
7311,affirm_payments,Prohibited (PBL),—
7321,affirm_payments,Prohibited (PBL),—
7322,affirm_payments,Prohibited (PBL),—
7332,affirm_payments,Prohibited (PBL),—
7333,affirm_payments,Prohibited (PBL),—
7338,sunbit_payments,Prohibited (PBL),—
7339,cashapp_payments,Prohibited (PBL),—
7342,upi_payments,Restricted (RBL),—
7361,affirm_payments,Prohibited (PBL),—
7372,affirm_payments,Prohibited (PBL),—
7375,affirm_payments,Prohibited (PBL),—
7379,p24_payments,Prohibited (PBL),—
7392,affirm_payments,Prohibited (PBL),—
7393,affirm_payments,Prohibited (PBL),—
7394,afterpay_clearpay_payments,Prohibited (PBL),—
7395,sunbit_payments,Prohibited (PBL),—
7399,affirm_payments,Prohibited (PBL),—
7511,affirm_payments,Prohibited (PBL),—
7512,p24_payments,Prohibited (PBL),—
7513,p24_payments,Prohibited (PBL),—
7519,p24_payments,Prohibited (PBL),—
7523,sunbit_payments,Prohibited (PBL),—
7524,affirm_payments,Prohibited (PBL),—
7534,upi_payments,Restricted (RBL),—
7535,upi_payments,Restricted (RBL),—
7538,upi_payments,Restricted (RBL),—
7542,sunbit_payments,Prohibited (PBL),—
7549,upi_payments,Restricted (RBL),—
7622,upi_payments,Restricted (RBL),—
7623,upi_payments,Restricted (RBL),—
7629,upi_payments,Restricted (RBL),—
7631,bizum_payments,Prohibited (PBL),—
7641,p24_payments,Restricted (RBL),—
7692,sunbit_payments,Prohibited (PBL),—
7699,upi_payments,Restricted (RBL),—
7778,affirm_payments,Prohibited (PBL),—
7800,affirm_payments,Prohibited (PBL),—
7801,affirm_payments,Prohibited (PBL),—
7802,affirm_payments,Prohibited (PBL),—
7829,affirm_payments,Prohibited (PBL),—
7832,sunbit_payments,Prohibited (PBL),—
7841,afterpay_clearpay_payments,Prohibited (PBL),—
7911,sunbit_payments,Prohibited (PBL),—
7922,p24_payments,Prohibited (PBL),—
7929,p24_payments,Prohibited (PBL),—
7932,sunbit_payments,Prohibited (PBL),—
7933,sunbit_payments,Prohibited (PBL),—
7941,p24_payments,Prohibited (PBL),—
7991,p24_payments,Prohibited (PBL),—
7992,sunbit_payments,Prohibited (PBL),—
7993,sunbit_payments,Prohibited (PBL),—
7994,cashapp_payments,Prohibited (PBL),—
7995,affirm_payments,Prohibited (PBL),—
7996,p24_payments,Prohibited (PBL),—
7997,upi_payments,Restricted (RBL),—
7998,sunbit_payments,Prohibited (PBL),—
7999,sunbit_payments,Prohibited (PBL),—
8011,p24_payments,Prohibited (PBL),—
8021,p24_payments,Prohibited (PBL),—
8031,p24_payments,Prohibited (PBL),—
8041,p24_payments,Prohibited (PBL),—
8042,p24_payments,Prohibited (PBL),—
8043,p24_payments,Prohibited (PBL),—
8049,p24_payments,Prohibited (PBL),—
8050,upi_payments,Restricted (RBL),—
8062,p24_payments,Prohibited (PBL),—
8071,p24_payments,Prohibited (PBL),—
8099,cashapp_payments,Prohibited (PBL),—
8111,affirm_payments,Prohibited (PBL),—
8211,sunbit_payments,Prohibited (PBL),—
8220,affirm_payments,Prohibited (PBL),—
8241,affirm_payments,Prohibited (PBL),—
8244,affirm_payments,Prohibited (PBL),—
8249,affirm_payments,Prohibited (PBL),—
8299,affirm_payments,Prohibited (PBL),—
8351,sunbit_payments,Prohibited (PBL),—
8398,affirm_payments,Prohibited (PBL),—
8641,afterpay_clearpay_payments,Prohibited (PBL),—
8651,affirm_payments,Prohibited (PBL),—
8661,affirm_payments,Prohibited (PBL),—
8675,sunbit_payments,Prohibited (PBL),—
8699,affirm_payments,Prohibited (PBL),—
8734,affirm_payments,Prohibited (PBL),—
8911,affirm_payments,Prohibited (PBL),—
8931,affirm_payments,Prohibited (PBL),—
8999,afterpay_clearpay_payments,Prohibited (PBL),—
9211,affirm_payments,Prohibited (PBL),—
9222,affirm_payments,Prohibited (PBL),—
9223,affirm_payments,Prohibited (PBL),—
9311,affirm_payments,Prohibited (PBL),—
9399,affirm_payments,Prohibited (PBL),—
9401,affirm_payments,Prohibited (PBL),—
9402,affirm_payments,Prohibited (PBL),—
9405,affirm_payments,Prohibited (PBL),—
9406,affirm_payments,Prohibited (PBL),—
9700,affirm_payments,Prohibited (PBL),—
9701,affirm_payments,Prohibited (PBL),—
9702,affirm_payments,Prohibited (PBL),—
9751,affirm_payments,Prohibited (PBL),—
9752,affirm_payments,Prohibited (PBL),—
9754,affirm_payments,Prohibited (PBL),—
9950,affirm_payments,Prohibited (PBL),—
